job,work_type,job_details
Investment Analyst,On-site,"About the job Know AuxanoAuxano is a sector agnostic venture capital firm empowering an entrepreneur’s vision.Since 2016 Auxano has been investing in growth stage - next gen technology first businesses.In 2019, Auxano Entrepreneur Trust - SEBI Cat I Angel Fund was launched.In 2022, Auxano launches Auxano Dawn Fund SEBI Cat 2 Fund ,In aggregate, Auxano has invested in businesses across Genomics, EdTech, Business Intelligence, Smart Mobility, Supply chain and Logistics In 2021 Auxano has extended the fund corpus and is looking forth with a vision of entrepreneurship, innovation and growth.Do visit as at our website , to see what exciting new things we are doing...!! What are we looking for...!٠Micro-entrepreneur ٠Self-motivated ٠Adaptive ٠Curious & Analytical mind Basic Function:The “Investment Analyst- Venture Capital” is responsible to onboard startup founders (& teams) onto Auxano Capital’s portfolio, maintain strong relationships with portfolio teams and assist in scaling the portfolio companies within the ecosystem. Primary Duties and Responsibilities: 1. Research - Investment ProcessSourcing startups (Market research, Competitive analysis, Business model analysis).Investing in startups (Investment notes, Investment Thesis, IC Presentations, Documentation).Scaling support (Market access, Mentorship, Hiring, Marketing, Sales, Product, etc). 2. Portfolio Management & Due-diligence Reviewing financing documents/structures/agreements/contractsRegular monitoring through MISTracking portfolio performance, competitor performance and support strategizing for growthCoordination with cross functional teams in due diligence & legal process for fund raiseInvestment Committee presentations, as and when required Corporate Activities & Communications Developing Monthly, Quarterly Investor communication reports- ideation, development and query handlingPreparation of Advisory Board presentations, industry /sector led reports, etcValue addition to Auxano’s content creation strategy – Podcasts, Blogs, VideosConducting marketing activities for the fund, to manage social media presence and content developmentCoordination with external stakeholders Qualifications and Skill-Set Requirements:Graduate (Engineering) And / Or Post GraduationExperience of 2-3 years Skill(s) Required: i. Qualitative & Quantitative Research ii. Data Analytics & Problem Solving, iii. Report Writing, Video/ Audio Editing Tools iv. MS Office (Expert knowledge) - Word, Excel, Power Point. Communication (both verbal & written), presentation and analytical skills.Collaborative thinker who works well in teams and is also an independent, self‐starter We are looking for a person with an inquisitive mind that seeks answers, with the skills of James Bond & Nancy Drew combined..! BENEFITSAcquire exposure and experience working within the Venture Capital industryHigh growth potential for promising and well-performing candidatesNetwork effects- opportunity to engage and communicate with startup teamsOpportunity to build multi-industry exposure while interacting with a portfolio spanned across sectors.Working closely with founding teams functioning within entrepreneurial environmentExposure to working on multiple projects and conduct real-time data analytics on industry- unique investment opportunities. Job Location: Gurugram, HaryanaMode of Work: Work From Office (WFO)"
Lead .NET Developer,Remote,"About the job We are looking for .NET developers with strong AWS/Azure or Angular/react. We would be happy to consider your applications if you are willing to join EPAM Anywhere by 15 March 2023 inclusively. Applications with later onboarding dates will not be considered. We are looking for the candidates with 4+ years of experience. Are you a tech professional looking for remote work in a global setting? If yes, this job is for you. Welcome to EPAM Anywhere - a global job platform offering remote work opportunities in the technology sector. Join us to build a career around your lifestyle working on modern projects for global brands and exciting startups. Currently, we are looking for a remote Lead .NET Developer to join our team. Responsibilities Implement new functionalities according to the requirementsContribute in new technologies on the the project for new featuresAnalyze and improve the application performanceFix security vulnerabilities after the project assessment Requirements Expert level of C#, .Net framework 4.7, ASP.NET Web APIAdvanced level of MS SQL, NinjectIntermediate knowledge in Entity Framework, NlogExperience of work with multi-threading applicationsPractice of setting CI/CD with Jenkins or other toolsGeneral design patterns, SOLID, YAGNI, KISS5+ years of relevant experience Nice to have RabbitMQ, Hangfire, MassTransit, KafkaUnit/integration tests with SpecFlow, NUnit We offer Insurance Coverage Paid Leaves – including maternity, bereavement, paternity, and special COVID-19 leaves. Financial assistance for medical crisis Retiral Benefits – VPF and NPS Customized Mindfulness and Wellness programs EPAM Hobby ClubsHybrid Work Model Soft loans to set up workspace at home Stable workload Relocation opportunities with ‘EPAM without Borders’ programCertification trainings for technical and soft skills Access to unlimited LinkedIn Learning platform Access to internal learning programs set up by world class trainers Community networking and idea creation platforms Mentorship programs Self-driven career progression tool This is a remote position and we welcome applications from anywhere in India Once you apply, you'll receive a confirmation email with a link to EPAM Anywhere platform. Sign up with this link to automate your prescreening, be able to monitor your application statuses, and enjoy a faster job application process. We accept CVs only in English. Please note that even though you are applying for this position, you may be offered other projects to join within EPAM Anywhere. EPAM Anywhere is a part of EPAM Systems, Inc. (NYSE: EPAM). Since 1993, EPAM has leveraged its advanced software engineering heritage to become the foremost global digital transformation services provider."
Senior Developer,Remote,"About the job We are looking for .NET developers with strong AWS/Azure or Angular/react. We would be happy to consider your applications if you are willing to join EPAM Anywhere by 15 March 2023 inclusively. Applications with later onboarding dates will not be considered. We are looking for the candidates with 4+ years of experience. Are you a tech professional looking for remote work in a global setting? If yes, this job is for you. Welcome to EPAM Anywhere - a global job platform offering remote work opportunities in the technology sector. Join us to build a career around your lifestyle working on modern projects for global brands and exciting startups. Currently we are looking for a remote Senior Developer with .NET to join our global team. The customer is a German company which designs tools for the development of embedded systems for the automotive industry and other sectors of the embedded industry. Responsibilities Communication with customerWork with big enterprise products with a lot of legacyParticipate in requirements analysisCollaborate with internal teams to produce software design and architectureWrite clean, scalable code using .NET programming languagesTest and deploy applications and systemsRevise, update, refactor and debug codeImprove existing software Requirements B2+ level of EnglishSolid knowledge of VS2019, .NET v4.8, WinFormsExpert understanding of NUnit3,R#,svnOpen-minded and flexibleAt least 3 years of working experience Nice to have Knowledge of WinForms We offer Insurance Coverage Paid Leaves – including maternity, bereavement, paternity, and special COVID-19 leaves. Financial assistance for medical crisis Retiral Benefits – VPF and NPS Customized Mindfulness and Wellness programs EPAM Hobby ClubsHybrid Work Model Soft loans to set up workspace at home Stable workload Relocation opportunities with ‘EPAM without Borders’ programCertification trainings for technical and soft skills Access to unlimited LinkedIn Learning platform Access to internal learning programs set up by world class trainers Community networking and idea creation platforms Mentorship programs Self-driven career progression tool This is a remote position and we welcome applications from anywhere in India Once you apply, you'll receive a confirmation email with a link to EPAM Anywhere platform. Sign up with this link to automate your prescreening, be able to monitor your application statuses, and enjoy a faster job application process. We accept CVs only in English. Please note that even though you are applying for this position, you may be offered other projects to join within EPAM Anywhere. EPAM Anywhere is a part of EPAM Systems, Inc. (NYSE: EPAM). Since 1993, EPAM has leveraged its advanced software engineering heritage to become the foremost global digital transformation services provider."
Senior Java Software Engineer,Remote,"About the job We are looking for Java developers with strong knowledge AWS or react/only. We would be happy to consider your applications if you are willing to join EPAM Anywhere by 15 March 2023 inclusively. Applications with later onboarding dates will not be considered. We are looking for the candidates with 4+ years of experience. Are you a tech professional looking for remote work in a global setting? If yes, this job is for you. Welcome to EPAM Anywhere - a global job platform offering remote work opportunities in the technology sector. Join us to build a career around your lifestyle working on modern projects for global brands and exciting startups. We are currently looking for a Senior Software Engineer with 4+ years of Java experience to join our team. The customer provides a complete and optimized research solution comprised of e-journals, e-books, and research databases — all combined with the most powerful discovery service to support the information needs and maximize the research experience of its end-users. The main pool of tasks is associated with work on “greenfield” projects focused on designing, architecting, and building core software products onto the Amazon Web Services (AWS) platform. Responsibilities Working with a team on design, implementing, testing and delivery of high-volume customer-facing applications that support customer’s products and servicesCollaborating with product management and your team while analyzing and decomposing complex software features into simpler stories for planning and executionCollaborating with your team to manage and estimate the size and complexity of the features/storiesPerforming the technical design, implementing, and testing of feature/stories and commit to what can be accomplished in an iterationOwning system and featuring quality throughout the development, testing and deployment phases to ensure quality delivery expectations are metSuggesting improvements to continuously improve the quality of the team’s deliverablesConducting new technology research, proof of concept, and design work that will provide direction for the enhancement of the overall system and productsAdhering to software engineering best practices for design, coding standards, performance, security, delivery, maintainability and cultureDemonstrating ownership of developed components from development through production Requirements 3+ years of Java experienceKnowledge of SpringGood experience with MicroservicesExperience with ReactUnderstanding and experience with ReduxKnowledge of Node.jsEnglish level B2+ Nice to have Experience with AWSKnowledge of CI/CD, JenkinsFamiliarity with ScrumExperience in testing of web applications (such as Karma.js and JMeter) We offer Insurance Coverage Paid Leaves – including maternity, bereavement, paternity, and special COVID-19 leaves. Financial assistance for medical crisis Retiral Benefits – VPF and NPS Customized Mindfulness and Wellness programs EPAM Hobby ClubsHybrid Work Model Soft loans to set up workspace at home Stable workload Relocation opportunities with ‘EPAM without Borders’ programCertification trainings for technical and soft skills Access to unlimited LinkedIn Learning platform Access to internal learning programs set up by world class trainers Community networking and idea creation platforms Mentorship programs Self-driven career progression tool This is a remote position and we welcome applications from anywhere in India Once you apply, you'll receive a confirmation email with a link to EPAM Anywhere platform. Sign up with this link to automate your prescreening, be able to monitor your application statuses, and enjoy a faster job application process. We accept CVs only in English. Please note that even though you are applying for this position, you may be offered other projects to join within EPAM Anywhere. EPAM Anywhere is a part of EPAM Systems, Inc. (NYSE: EPAM). Since 1993, EPAM has leveraged its advanced software engineering heritage to become the foremost global digital transformation services provider."
Golang Developer,On-site,"About the job Develop, enhance, and maintain highly available, scalable banking applications usingGolang and MongoDB Role: Developer, TechLead Experience Range: 1-6 years Mandatory Skills: Go, MongoDB, HTTP - REST or JSON-RPC or RPC/GRPCStrong programming and problem-solving skills Preferred Skills: SPA frameworks like Angular or React or VueMessageQueues like NATS, Kafka, RabbitMQLinuxAWSSQL/RDBMS Location: Chennai"
Engineeing Lead - Backend (Python),On-site,"About the job Our Client is Series B funded B2B SaaS firmRole: Engineering LeadJob Location: GurgaonWorkplace Type: Work from OfficeExperience: 7 years to 13 yearsCTC Range: Upto 75 LPAMandatory Skill: Mandatory 2 years of experience(Current or Previous) in Start up , Product development from Scratch Python , AWS , ELK , Cassandra Roles & ResponsibilitiesLead, Architect and Develop one or more major areas of the platform, which comprises of multiple componentsIdeate, plan and build tools and solutions for solving complex technical problemsEvaluates, analyzes and leads the adoption of emerging new technologiesConceives and leads the development and design of highly innovative, large, software solutions Requirements:7+ years of professional experience with designing, developing and shipping highly reliable distributed systems and services in Python In-depth understanding of relational and NoSQL databases Experience in building pipelines to ingest terabytes of data.Experience in working with large code bases and complex problemsSolid understanding of distributed systems architecture - consensus, convergence, load balancing, data consistency and performance/efficiency construct"
Adobe AEM Developer,Remote,"About the job Note:- Minimum 8+ years of experience required About Truelancer:Truelancer Enterprise gig work platform where we take up on-the-ground or digital recurring work from enterprises and get it done through a million gig workers across 200+ cities in India. Our objective is to simplify the execution of different complex processes involving managing teams of multiple people at different hierarchical levels and enable millions of Gig workers to perform their task efficiently. Total Experience - 5+ YearsRelevant Experience on Mandatory Skills - 3+ years of platform (AEM) experienceJob Description Integrate AEM applications with third-party systemsDevelop custom AEM components and templatesWrite unit tests for AEM componentsKnowledge of development tools such as Jenkins, Jira, and GitHubMandatory Skills Knowledge of OSGI and Sling modelsStrong experience with:AEM building blocks, including templates, components, dialogs, widgets, and bundlesForms, Experience Fragments, Content Fragments, and SPAAdobe Analytics / Target / LaunchGood to Have Skills Expert level with CSS and HTMLKnowledge in JavaScriptExperience with HTL (Adobe Template language)Experience with CSS processors Timing:- Full time (As per company timings)Notice Period:- 1 month or less (immediate joiner - Preferred )Location: Remote"
Python Developer- Immediate Joiner,Remote,"About the job TC ₹7- 14 LPA Per Year based on experience**** The ideal candidate is a self-motivated and demonstrated team-player. You will be a developer responsible for the development of new software products and enhancements to existing products. You should excel in working with large-scale applications and frameworks and have outstanding communication and leadership skills. We are a Facebook Marketing Automation technology using Ai and Machine learning looking for exceptionally talented Senior Developers and Team Leads to join our team. The role offers excellent career prospects for the right candidates looking to work on Marketing automation and Artificial Intelligence. ResponsibilitiesWriting clean, high-quality, high-performance, maintainable codeDevelop and support software including applications, database integration, interfaces, and new functionality enhancementsCoordinate cross-functionally to insure project meets business objectives and compliance standardsSupport test and deployment of new products and featuresParticipate in code reviewsHave an interest in Artificial Intelligence and its applications QualificationsBachelor's degree in Computer Science (or related field)3+ years of relevant work experienceExpertise in Python DevelopmentExperience with Agile or Scrum software development methodologiesAbility to multi-task, organize, and prioritize work"
Senior JavaScript Developer,Remote,"About the job We would be happy to consider your applications if you are willing to join EPAM Anywhere by 15 March 2023 inclusively. Applications with later onboarding dates will not be considered. We are looking for the candidates with 4+ years of experience. Are you a tech professional looking for remote work in a global setting? If yes, this job is for you. Welcome to EPAM Anywhere - a global job platform offering remote work opportunities in the technology sector. Join us to build a career around your lifestyle working on modern projects for global brands and exciting startups. Currently, we are looking for a Remote Senior JavaScript Developer to join our team. Responsibilities Implement new featuresGeneral bug-fixingDo a code reviewCreate and update unit testsGood analysis of technical task requirementsWrite documentation as onboarding and development processesDeveloper on duty activities: handle support requests, investigate production bugs, fix critical issues Requirements 3+ years of JavaScript experience3+ years of React experienceRedux experienceSCSS knowledge TypeScript Knowledge Nice to have Work with git Know and understand the mobile adaptationJavaScript Core(adaptive functionality and ES6 features) knowledge We offer Insurance Coverage Paid Leaves – including maternity, bereavement, paternity, and special COVID-19 leaves. Financial assistance for medical crisis Retiral Benefits – VPF and NPS Customized Mindfulness and Wellness programs EPAM Hobby ClubsHybrid Work Model Soft loans to set up workspace at home Stable workload Relocation opportunities with ‘EPAM without Borders’ programCertification trainings for technical and soft skills Access to unlimited LinkedIn Learning platform Access to internal learning programs set up by world class trainers Community networking and idea creation platforms Mentorship programs Self-driven career progression tool This is a remote position and we welcome applications from anywhere in India Once you apply, you'll receive a confirmation email with a link to EPAM Anywhere platform. Sign up with this link to automate your prescreening, be able to monitor your application statuses, and enjoy a faster job application process. We accept CVs only in English. Please note that even though you are applying for this position, you may be offered other projects to join within EPAM Anywhere. EPAM Anywhere is a part of EPAM Systems, Inc. (NYSE: EPAM). Since 1993, EPAM has leveraged its advanced software engineering heritage to become the foremost global digital transformation services provider."
QA Automation Specialist,Remote,"About the job **Mandatory Skills -, Selenium, Web Driver IO, SOAP, REST API Test Automation, CI/CD Awareness, Azure Cloud **Relevant Experience Required: 5+ years Project Description:Retail Transformation program to Consolidate Core Banking Platform, Mobile Application and Origination System. Responsibilities:Develop automation test frameworks using Selenium (Data driven & Hybrid) and BDD tools.Develop automation test plans and strategiesEnsure testing standards are being upheld and that test case specifications cover risk areas.Understand and apply Test driven/behavior design concepts to test and debug automated solutionsResponsible for planning, designing, developing, deploying, maintenance and troubleshooting.Automate UI and backend services (API, webServices) using Karate framework.Execute test automation scripts and Publish test reportsEnsure full traceability between test scripts, results, and requirements.Document and evaluate test results and defects, track and manage defects through to resolution.Analyze the impact of new solutions/enhancements and run appropriate regression testingIntegrated automated test suites with Continuous Integration and delivery pipelines. Mandatory Skills Description:Software Quality Assurance professional with over 5+ years' experienceExtensive experience in software Test automation tools and working in fast-paced Agile EnvironmentsGood knowledge of Testing Life cycle processesExtensive experience working in Behaviour-driven development (BDD) tools e.g., CucumberExperienced in development API Automation scripts using Karate framework and POSTMAN APIExtensive experience working in the areas of Java development, open source test automation tools and Selenium Web Driver, Junit and MavenAbility of design Generic functions and enable modifications of existing frameworkHands on test case design, creation, management and executionProficiency in relational database models, SQL queries, XML data modelsExperience developing modular, extensible, re-useable components as part of a broad architectureStrong experience in testing XML SOAP, RESTful web APIsStrong understanding of Service Virtualisation Concepts and tool set - CA LISA, Trientis OSV, Mountebank, Ready API, Parasoft, Hoverfly.Strong experience in creating end to end CI/CD (Continuous Integration/Continuous delivery) solutions using tools such as Jenkins, Azure DevOps, Dockers and containerisation tools.Influence Analysts and Engineers to have a testing mindset by contributing to and / or supporting analysis and design activitiesExperiences in Atlassian tools (Jira and Confluence) and integrating them to automation testing frameworks.Good communication and Presentation skills"
D2 Documetum Developer,On-site,"About the job Dear Candidate, Greetings from Tata Consultancy Services! We are hiring D2 Documentum Developers. Work Location: Noida/Blr/Chennai/Pune/Mumbai Work Experience : 4 - 7 years Interview Mode: Online Interested professionals send your updated CV & the below details to mariamcarishma.william@tcs.com: Full Name:Email:Total Experience:Preferred location:Relevant Experience:Contact Number :Notice Period:Current Company Name:):Current CTC (Voluntary disclosure):Expected CTC(Voluntary disclosure):Highest Educational QualificationInstitute of Highest Education Qualification:University of Highest Education Qualification:Education Gap (if any):Career gap (if any) Must Have Skills 1. Documentum 7.x & 16.x 2. D2 customization and configuration 3. Good analytical skillftware validation process"
Senior JavaScript Developer,Remote,"About the job We would be happy to consider your applications if you are willing to join EPAM Anywhere by 15 March 2023 inclusively. Applications with later onboarding dates will not be considered. We are looking for the candidates with 4+ years of experience. Are you a tech professional looking for remote work in a global setting? If yes, this job is for you. Welcome to EPAM Anywhere - a global job platform offering remote work opportunities in the technology sector. Join us to build a career around your lifestyle working on modern projects for global brands and exciting startups. Currently, we are looking for a Middle/Senior JavaScript Developer to make the team even stronger. We are seeking a tech-savvy specialist capable to support a dedicated Machine Learning and Social/Collaboration “SWAT” team from a front-end perspective. As a JavaScript Developer, you will be involved in developing a self-service application, that will ease the data processing greatly and build interactive visualizations. Your main duties will also include developing React components of different levels of complexity. Working as part of our distributed team of 30+ people, you will get not only an interesting experience but also chances to enhance your technical skills through working with a modern technology stack and collaboration with the top-notch EPAM specialists from other locations. Our customer is a US-based software company that allows users to prepare and transform their data into actionable, easily consumable information. With more than 30 years' experience in the market, the company focuses on providing its 40,000 clients with sophisticated solutions for the most difficult data challenges. Responsibilities Develop React components of different levels of complexityWrite tests for the developed components, perform partial components design and testingDevelop new functionalityBe able to understand the functionality of the current application and fix bugs if neededCommunicate with the developers from other teams regarding the application’s functionality Requirements 3+ years of experience as a JavaScript DeveloperKnowledge of ReactJSExperience working with ReduxKnowledge of WebpackKnowledge of ES6Ability to read and understand other people’s codeCritical thinkingGood communication skillsIntermediate (B1) English level Nice to have Working experience with various frameworksFamiliarity with Git, MercurialUnderstanding of Functional Programming, Functional Reactive Programming. We offer Insurance Coverage Paid Leaves – including maternity, bereavement, paternity, and special COVID-19 leaves. Financial assistance for medical crisis Retiral Benefits – VPF and NPS Customized Mindfulness and Wellness programs EPAM Hobby ClubsHybrid Work Model Soft loans to set up workspace at home Stable workload Relocation opportunities with ‘EPAM without Borders’ programCertification trainings for technical and soft skills Access to unlimited LinkedIn Learning platform Access to internal learning programs set up by world class trainers Community networking and idea creation platforms Mentorship programs Self-driven career progression tool This is a remote position and we welcome applications from anywhere in India Once you apply, you'll receive a confirmation email with a link to EPAM Anywhere platform. Sign up with this link to automate your prescreening, be able to monitor your application statuses, and enjoy a faster job application process. We accept CVs only in English. Please note that even though you are applying for this position, you may be offered other projects to join within EPAM Anywhere. EPAM Anywhere is a part of EPAM Systems, Inc. (NYSE: EPAM). Since 1993, EPAM has leveraged its advanced software engineering heritage to become the foremost global digital transformation services provider."
Chef,On-site,"About the job With the Rapid Expansion at Moonshot Foodworks, Library by Melthouse has a vacancy for a DCDP. We are looking for a passionate Young Chef who should possess the following Skill set 1. Ability to adapt 2. Quick learner 3. Great delegation 4. Team management skills 5. Excellent attention to detail 6. Proactive and flexible 7. Positive attitude 8. Sense of ownership 9. Can be a perfect laison to Implement the Culinary vision of the Brand. 10. Leadership abilities A minimum of 4 years of in hardcore operations is a must. Also, understands the importance of working efficiently in a hygienic environment. If you are dedicated, passionate towards the craft & take a lot of self initiative, please do send you CV at melthousekitchen@gmail.com OR Simply DM"
Job Opening for Oracle Cerner core,Hybrid,"About the job We are looking for Cerner core Product owners/ Business Analyst for HCL Technologies Ltd, Key skills: Cerner Millenium, Healthcare Domain ExpectancyLocation: Chennai, Hyderabad, Noida, Pune, BangaloreExperience: 12+ years Desired Skillset Basic understanding of project management lifecycle and related requirements Possesses knowledge to maintain and configure Cerner Millennium security solutions: Preference/privilege maintenance; User-account management; Message Center configuration; Code Set maintenance and aliasing; Application Group and Task Access maintenance; Cerner Bedrock Possesses knowledge to maintain and configure Clinical Results Management solutions: Clinical event/result design, maintenance, and aliasing; System interface (HL7) experience and troubleshooting skills; Clinical reporting solutions management; proficiency with Discern tools and analysis; awareness of Cerner Bedrock and MPage configuration; awareness of Clinical Results integration points: health information management (HIM), clinician workflows, application views, interoperability/health information exchange (HIE) solutions Possesses knowledge to maintain and configure Clinical Reporting solutions: Clinical view manager; Report request maintenance; Clinical documentation maintenance tools; Clinical report distributions; System operations and scheduling Possesses knowledge to support and maintain Health Information Management solutions: Clinical document deficiency tracking; Clinical document/imaging solution management; Release of information (ROI) solutions; Person/encounter combine logic Possesses knowledge of Enterprise Master Patient Index (EMPI) solutions and patient access/person management workflow, support/troubleshooting, and optimization Possesses knowledge of Cerner troubleshooting tools; ability to troubleshoot basic to complex system functions. Possesses proficiency in Cerner command language (CCL); ability to create, perform, and analyze system audits."
Business Development Associate,Remote,"About the job HIRING FOR THE ROLE OF BUSINESS DEVELOPMENT TRAINEE *DAILY AND MONTHLY RESPONSIBILITY:* • Maintain a good performance report • Selling services to New and given leads • Develop and implement overarching outbound sales and business development strategy, sales processes, structure, and best practices across the company • Maintain and share professional knowledge through education, networking, events, and presentations *PERKS WORKING WITH EXOTIC LEARNING:* • Work from home • Higher growth opportunities *PREFERRED QUALIFICATION:* Freshers are also accepted Good in writing outbound sales emails Good in Telephonic communication *COMPENSATION:* CTC UPTO 6.12 LPA ( 3.12 LPA Fixed + 3 LPA Variable) Positive performance report of the candidate will be eligible for base pay and will work in the current department (sales) *SELECTION PROCESS:* 1. Telephonic interview 2. One on one interview ( final round )"
Sales Specialist,Remote,"About the job Lead Generation Process (Work From Home) Salary: Up to 50,000 - 70,000Incentives: Unlimited Incentives (based on appointments) Candidate should have extreme good command on English. Candidate should have phone sales experience. Other Responsibilities: Identifying and pursuing new business opportunitiesNegotiating and closing dealsMaintaining relationships with new & existing clientsCollaborating with other departmentsTracking performance"
System Support Engineer,On-site,"About the job Tips: Provide a summary of the role, what success in the position looks like, and how this role fits into the organization overall. ResponsibilitiesData HandlingManage Reports on Daily BasisBackend PanelGood Communication voice/mailQualifications12th pass or Diploma"
"Senior System Architect, Java Developer, Axiom Developer, Sr. Big Data Engineer, Automation Tester, Business Analyst",On-site,"About the job Hiring Alert!!! We are hiring in India for; Senior System ArchitectJava DeveloperAxiom DeveloperSr. Big Data EngineerAutomation TesterBusiness Analyst Interested, please mail your updated cv to silpa.surendran@dxc.com"
Senior Data Engineer,Remote,"About the job Job Title : Sr. Data Engineer Department : Etech Technology Solutions (ETS)Location : Gandhinagar Our team is growing – but we are not adding members just to fulfill requests. We are searching for individuals who are ready to be a part of the next big thing and are excited about growing with our company! Leadership is anxiously waiting to cultivate and develop your skills and prepare you for the career journey of a lifetime.Our focus is to create lasting impressions with each customer interaction. Reflect on the times you have been the customer and you left your experience feeling satisfied, appreciated, and valued. Simply put – these are the experiences you will use to deliver world-class results to our customer base.If you consider yourself to be a team player, goal-oriented, and possess a passion for helping others; apply to become a part of the Etech Global Services Team. ABOUT US:Globally, we are over 3000+ strong, and we are always searching for new team members which will offer fresh and innovative ideas and diverse approaches to everyday problem-solving. Etech is governed by 12-character commitments: Integrity, Valuing People, Teamwork, Accountability, Communication, Vision, Adaptability, Humility, Creativity, Teachability, Positive Influence, and Courage. Together, these 12 commitments guide our workplace culture and set the tone for how we treat each other. Visit us: www.etechgs.com What we offer:Transportation allowanceCanteen SubsidyNight Shift allowance as per processHealth InsuranceTuition ReimbursementWork Life Balance InitiativesRewards & Recognition WHAT WE EXPECT YOU TO HAVE:Experience: 5+ Years of ExperiencePerson should have 5 years of good knowledge on ETL(Logic) using pythonPerson should have good experience in Python and APIPerson should responsible for collecting, parsing, transforming and analyzing large dataPerson should able to design, develop, support on extracting complex data, and automates ETL jobs"
PL/SQL Developer,On-site,"About the job TCS is Hiring for PL/SQL Developer Job Title: PL/SQL DeveloperLocation: PAN INDIAExperience Range: 2 - 6 YearsQualification: 15 years of full time EducationJob descriptionTCS has always been in the spotlight for being adept in the next big technologies. What we can offer you is a space to explore varied technologies and quench your techie soul. Must have skills:Expertise in SQL and PL/SQL programming, developing complex code units. Interested Candidates can send resumes to: godwin.stephen1@tcs.com"
SAP SD,On-site,About the job SAP SDExperience: 5+ yearsLocation: Chennai/Bangalore/HyderabadNotice Period: Immediate to 30 days Job Description:• Around 6 to 10 years of SAP SD experience• Exposure to Indian taxation as well as GST process• Good in communication skills. Interested candidates please do share your updated CV with nivetha.harikrishnan@htcinc.com along with below mentioned details: Rel. Exp. in SAP SD:Rel. Exp. in Indian Taxation:Rel. Exp. in GST Process:Notice Period:CTC:E.CTC:Current Location:Preferred Location:
Associate- -Developer Support,Hybrid,"About the job The Developer Support Engineering (DSE) team ensures global supportcoverage to our software developer’s community, coding and maintaining applications and databases. The team comes from a variety of Information Technology backgrounds, from entrepreneurs to full stack developers. Although our backgrounds are different, we all have one thing in common, the desire to help the software developer’s community all around the world through the software development of innovative new tools, which help make engaging with external developers a more connected and smoother experience. As a Developer Support Engineer, you will be working closely with Software Engineers, providing coding and technical support to the developers, helping them to ensure a high-quality experience to their users. We are looking for someone who is passionate about coding and solving problems. This role is perfect for someone who has been in the Information Technology (IT) industry providing technical support and wants to take on anew challenge. Responsibilities- Develop and maintain various products/software’s by using APIs, SDKs and platform plugins.- Software coding and troubleshooting issues with PHP, Python and JavaScript coding languages.- Query and maintain SQL database tables.- Manage technical product issues and escalations, delivering the highest level of customer satisfaction making use of software development methodologies, such as Lean and Six Sigma.- Work closely with Software Engineer Developers to understand them needs and develop solutions.- Understand and analyze High End Metrics as productivity, utilization, Turn Around Time, Transfer & Escalation Rates, etc.- Perform data analysis with a Use Case submission to visualize trends, provide solutions and mitigate issues.- Ramp-up and train new hires in the process including E2E knowledge base Management.- Stakeholder Management - Work collaboratively with both Internal, External stakeholders.- Responsible for team's operational metrics and will quo own with FLM and drive teams' knowledge.QualificationsMinimum qualifications- Bachelor’s or equivalent in computer science or related field.- 1+ year of experience providing Enterprise Support in a technical environment.- Strong analytical/coding and communication skills.- Ability to be flexible, multitask and learn in a fast-paced environment.- Customer-focused and can demonstrate understanding and empathy.- Creative problem solver with excellent troubleshooting skills.- Self-driven nature with strong attention to detail and follow-through. Technical Qualifications: - Programming and scripting experience (PHP, Python, JavaScript).- Experience working with APIs, plugins and SQL database.- Experience with tools such as Tableau, Unidash, Scuba, and Google Drive environment.- Web Development experience.- Lean & Six Sigma Methodologies. Preferred Qualifications· Investigative experience in one or more of the following areas: spam, phishing, malware, account takeover, apps and ads fraud.· Experience in database infrastructure and writing queries in SQL.· Influential and willing to push back - negotiation skills· Experience with policies - whether it be terms & conditions, external or internal policies or regulations· Military could be good - assessing risk and finding bad actors Experience range-1-2 Years"
